administration_id,age,lab_age,lab_age_units,monitor_size_x,monitor_size_y,sample_rate,tracker,coding_method,dataset_id,subject_id,dataset_name,sex,native_language,lab_subject_id
326,15,15,months,NA,NA,30,video_camera,manual gaze coding,5,222,adams_marchman_2018,female,eng,12512
327,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,222,adams_marchman_2018,female,eng,12512
328,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,222,adams_marchman_2018,female,eng,12512
329,17,17,months,NA,NA,30,video_camera,manual gaze coding,5,223,adams_marchman_2018,female,eng,12520
330,17,17,months,NA,NA,30,video_camera,manual gaze coding,5,223,adams_marchman_2018,female,eng,12520
331,20,20,months,NA,NA,30,video_camera,manual gaze coding,5,223,adams_marchman_2018,female,eng,12520
332,20,20,months,NA,NA,30,video_camera,manual gaze coding,5,223,adams_marchman_2018,female,eng,12520
333,15,15,months,NA,NA,30,video_camera,manual gaze coding,5,224,adams_marchman_2018,female,eng,12547
334,15,15,months,NA,NA,30,video_camera,manual gaze coding,5,224,adams_marchman_2018,female,eng,12547
335,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,224,adams_marchman_2018,female,eng,12547
336,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,224,adams_marchman_2018,female,eng,12547
337,15,15,months,NA,NA,30,video_camera,manual gaze coding,5,225,adams_marchman_2018,female,eng,12608
338,15,15,months,NA,NA,30,video_camera,manual gaze coding,5,225,adams_marchman_2018,female,eng,12608
339,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,225,adams_marchman_2018,female,eng,12608
340,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,225,adams_marchman_2018,female,eng,12608
341,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,226,adams_marchman_2018,female,eng,12612
342,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,226,adams_marchman_2018,female,eng,12612
343,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,226,adams_marchman_2018,female,eng,12612
344,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,226,adams_marchman_2018,female,eng,12612
345,17,17,months,NA,NA,30,video_camera,manual gaze coding,5,227,adams_marchman_2018,female,eng,12683
346,17,17,months,NA,NA,30,video_camera,manual gaze coding,5,227,adams_marchman_2018,female,eng,12683
347,20,20,months,NA,NA,30,video_camera,manual gaze coding,5,227,adams_marchman_2018,female,eng,12683
348,20,20,months,NA,NA,30,video_camera,manual gaze coding,5,227,adams_marchman_2018,female,eng,12683
349,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,228,adams_marchman_2018,male,eng,12717
350,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,228,adams_marchman_2018,male,eng,12717
351,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,228,adams_marchman_2018,male,eng,12717
352,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,228,adams_marchman_2018,male,eng,12717
353,17,17,months,NA,NA,30,video_camera,manual gaze coding,5,229,adams_marchman_2018,male,eng,12724
354,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,229,adams_marchman_2018,male,eng,12724
355,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,229,adams_marchman_2018,male,eng,12724
356,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,229,adams_marchman_2018,male,eng,12724
357,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,230,adams_marchman_2018,female,eng,12737
358,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,230,adams_marchman_2018,female,eng,12737
359,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,230,adams_marchman_2018,female,eng,12737
360,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,230,adams_marchman_2018,female,eng,12737
361,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,231,adams_marchman_2018,male,eng,12828
362,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,231,adams_marchman_2018,male,eng,12828
363,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,231,adams_marchman_2018,male,eng,12828
364,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,231,adams_marchman_2018,male,eng,12828
365,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,232,adams_marchman_2018,male,eng,12830
366,17,17,months,NA,NA,30,video_camera,manual gaze coding,5,232,adams_marchman_2018,male,eng,12830
367,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,232,adams_marchman_2018,male,eng,12830
368,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,232,adams_marchman_2018,male,eng,12830
369,17,17,months,NA,NA,30,video_camera,manual gaze coding,5,233,adams_marchman_2018,female,eng,12840
370,17,17,months,NA,NA,30,video_camera,manual gaze coding,5,233,adams_marchman_2018,female,eng,12840
371,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,233,adams_marchman_2018,female,eng,12840
372,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,233,adams_marchman_2018,female,eng,12840
373,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,234,adams_marchman_2018,female,eng,12878
374,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,234,adams_marchman_2018,female,eng,12878
